,Year,Value
20,1995,0.0
19,1996,-0.156758546327366
18,1997,-0.374824626482648
17,1998,0.320050440857123
16,1999,0.0
13,2001,-0.2874378999029951
22,2002,-0.4701515153910105
7,2003,-0.1369730563213428
11,2004,0.05702538101468235
1,2005,-0.0028989703860133886
8,2006,-0.13480264648126486
14,2007,0.0014298793313832119
26,2008,0.1242853509572645
24,2009,-0.3749123352614266
15,2010,-0.5320050440857123
27,2011,-0.24741940402115384
5,2012,-0.22086579202172849
25,2013,-0.46630999079394725
3,2014,-0.3310199117820178
10,2015,-0.29238865700726574
0,2016,-0.5987557857297361
6,2017,-0.5691469675776634
23,2018,-0.46668536151992157
2,2019,-0.3582647426950711
21,2020,-0.3464351587838704
9,2021,-0.31296255211863255
12,2022,-0.2880950562584286
4,2023,-0.409653736948967
